Crop,City,Date,Predicted_AW_Day,Rainfall_mm,Temperature_F,Soil_Moisture
Almonds,Merced,2025-04-05,2.95,0.0,57.7,0.151
Almonds,Merced,2025-04-06,3.436,0.0,62.8,0.134
Almonds,Merced,2025-04-07,3.876,0.0,60.4,0.118
Almonds,Merced,2025-04-08,4.123,0.0,59.2,0.109
Almonds,Merced,2025-04-09,4.415,0.0,60.2,0.099
Almonds,Merced,2025-04-10,4.708,0.0,66.1,0.089
Almonds,Merced,2025-04-11,4.955,0.0,66.5,0.08
Grapes,Fresno,2025-04-05,1.642,0.0,60.6,0.197
Grapes,Fresno,2025-04-06,2.053,0.0,64.9,0.182
Grapes,Fresno,2025-04-07,2.398,0.0,64.9,0.17
Grapes,Fresno,2025-04-08,2.612,0.0,64.0,0.163
Grapes,Fresno,2025-04-09,2.824,0.0,66.4,0.155
Grapes,Fresno,2025-04-10,3.056,0.0,73.3,0.147
Grapes,Fresno,2025-04-11,3.322,0.0,72.4,0.138
Tomato,Sacramento,2025-04-05,0.794,0.0,60.2,0.227
Tomato,Sacramento,2025-04-06,1.246,0.0,62.2,0.211
Tomato,Sacramento,2025-04-07,-0.043,0.0,61.1,0.257
Tomato,Sacramento,2025-04-08,0.558,0.0,57.8,0.235
Tomato,Sacramento,2025-04-09,1.126,0.0,61.4,0.215
Tomato,Sacramento,2025-04-10,1.582,0.0,65.7,0.199
Tomato,Sacramento,2025-04-11,2.0,0.0,65.3,0.184
Tomato,Seattle,2025-04-05,2.699,0.0,54.2,0.16
Tomato,Seattle,2025-04-06,-0.771,14.7,54.9,0.282
Tomato,Seattle,2025-04-07,-1.274,2.2,49.6,0.3
Tomato,Seattle,2025-04-08,-1.533,13.8,47.2,0.309
Tomato,Seattle,2025-04-09,-0.11,0.0,51.0,0.259
Tomato,Seattle,2025-04-10,0.299,0.9,56.2,0.245
Tomato,Seattle,2025-04-11,-0.81,0.9,49.0,0.284
